1	как	как	ADV	_	_	_	_	_	@yan1988f-words#@yan1988f#102.29#102.544
2	тебе	ты	PRON	_	Case=Dat|Number=Sing|Person=2	_	_	_	@yan1988f-words#@yan1988f#102.544#102.798
3	вообще	вообще	ADV	_	_	_	_	_	@yan1988f-words#@yan1988f#102.798#103.052
4	вот	вот	PART	_	_	_	_	_	@yan1988f-words#@yan1988f#103.052#103.306
5	аудитория	аудитория	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@yan1988f-words#@yan1988f#103.306#103.56
6	публика	публика	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@yan1988f-words#@yan1988f#103.56#103.814
7	в	в	ADP	_	_	_	_	_	@yan1988f-words#@yan1988f#103.814#104.068
8	Одессе	Одесса	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@yan1988f-words#@yan1988f#104.068#104.322
9	?	?	PUNCT	_	_	_	_	_	@yan1988f-words#@yan1988f#104.322#104.576
10	/	/	PUNCT	_	_	_	_	_	@yan1988f-words#@yan1988f#104.576#104.83
11	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@yan1988f-words#@yan1988f#104.83#105.084
12	понимаю	понимать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@yan1988f-words#@yan1988f#105.084#105.338
13	что	что	SCONJ	_	_	_	_	_	@yan1988f-words#@yan1988f#105.338#105.592
14	дети	ребенок	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@yan1988f-words#@yan1988f#105.592#105.846
15	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	@yan1988f-words#@yan1988f#105.846#106.1
16	/	/	PUNCT	_	_	_	_	_	@yan1988f-words#@yan1988f#106.1#106.354
17	как	как	SCONJ	_	_	_	_	_	@yan1988f-words#@yan1988f#106.354#106.608
18	будто	будто	PART	_	_	_	_	_	@yan1988f-words#@yan1988f#106.608#106.862
19	бы	бы	PART	_	_	_	_	_	@yan1988f-words#@yan1988f#106.862#107.116
20	везде	везде	ADV	_	_	_	_	_	@yan1988f-words#@yan1988f#107.116#107.37
21	одинаковые	одинаковый	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@yan1988f-words#@yan1988f#107.37#107.624
22	но	но	CCONJ	_	_	_	_	_	@yan1988f-words#@yan1988f#107.624#107.878
23	что	что	ADV	_	_	_	_	_	@yan1988f-words#@yan1988f#107.878#108.132
24	можешь	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@yan1988f-words#@yan1988f#108.132#108.386
25	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@yan1988f-words#@yan1988f#108.386#108.64
26	про	про	ADP	_	_	_	_	_	@yan1988f-words#@yan1988f#108.64#108.894
27	одесских	одесский	ADJ	_	Animacy=Anim|Case=Acc|Degree=Pos|Number=Plur	_	_	_	@yan1988f-words#@yan1988f#108.894#109.148
28	детей	ребенок	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@yan1988f-words#@yan1988f#109.148#109.402
29	?	?	PUNCT	_	_	_	_	_	@yan1988f-words#@yan1988f#109.402#109.66
30	вопросик	вопросик	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@yan1988f-words#@yan1988f#143.33#143.745
31	по	по	ADP	_	_	_	_	_	@yan1988f-words#@yan1988f#143.745#144.16
32	поводу	повод	NOUN	_	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing	_	_	_	@yan1988f-words#@yan1988f#144.16#144.575
33	хейтеров	хейтер	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@yan1988f-words#@yan1988f#144.575#144.99
34	хейтеров	хейтер	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@yan1988f-words#@yan1988f#145.73#145.938
35	/	/	PUNCT	_	_	_	_	_	@yan1988f-words#@yan1988f#145.938#146.146
36	и	и	CCONJ	_	_	_	_	_	@yan1988f-words#@yan1988f#146.146#146.354
37	по	по	ADP	_	_	_	_	_	@yan1988f-words#@yan1988f#146.354#146.562
38	поводу	повод	NOUN	_	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing	_	_	_	@yan1988f-words#@yan1988f#146.562#146.77
39	тех	тот	DET	_	Case=Gen|Number=Plur	_	_	_	@yan1988f-words#@yan1988f#146.77#146.978
40	кто	кто	PRON	_	Case=Nom	_	_	_	@yan1988f-words#@yan1988f#146.978#147.186
41	тебя	ты	PRON	_	Case=Acc|Number=Sing|Person=2	_	_	_	@yan1988f-words#@yan1988f#147.186#147.394
42	любит	любить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@yan1988f-words#@yan1988f#147.394#147.61
43	сначала	сначала	ADV	_	_	_	_	_	@yan1988f-words#@yan1988f#147.72#148.014
44	хейтеры	хейтер	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@yan1988f-words#@yan1988f#148.014#148.308
45	да	да	PART	_	_	_	_	_	@yan1988f-words#@yan1988f#148.308#148.602
46	/	/	PUNCT	_	_	_	_	_	@yan1988f-words#@yan1988f#148.602#148.896
47	как	как	ADV	_	Degree=Pos	_	_	_	@yan1988f-words#@yan1988f#148.896#149.19
48	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@yan1988f-words#@yan1988f#149.19#149.484
49	вообще	вообще	ADV	_	Degree=Pos	_	_	_	@yan1988f-words#@yan1988f#149.484#149.778
